EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC
01/01/2013,4,1,-3
02/01/2013,1,-2,-6
03/01/2013,0,-2,-4
04/01/2013,3,1,-1
05/01/2013,6,3,0
06/01/2013,8,4,1
07/01/2013,7,5,3
08/01/2013,9,6,2
09/01/2013,9,7,4
10/01/2013,8,7,4
11/01/2013,8,6,3
12/01/2013,8,7,6
13/01/2013,10,8,6
14/01/2013,13,8,3
15/01/2013,3,3,2
16/01/2013,3,2,0
17/01/2013,6,4,2
18/01/2013,2,-1,-4
19/01/2013,11,5,-1
20/01/2013,12,6,-1
21/01/2013,0,-2,-3
22/01/2013,-3,-7,-11
23/01/2013,-7,-9,-12
24/01/2013,-6,-8,-11
25/01/2013,-4,-7,-11
26/01/2013,-3,-6,-9
27/01/2013,1,-3,-7
28/01/2013,2,1,-2
29/01/2013,9,6,2
30/01/2013,15,9,4
31/01/2013,16,8,-1
01/02/2013,-1,-2,-4
02/02/2013,-2,-4,-7
03/02/2013,-1,-3,-4
04/02/2013,-1,-3,-5
05/02/2013,0,-1,-2
06/02/2013,4,1,-2
07/02/2013,0,-2,-3
08/02/2013,1,-1,-3
09/02/2013,0,-3,-6
10/02/2013,2,-3,-8
11/02/2013,7,4,1
12/02/2013,7,4,2
13/02/2013,7,4,1
14/02/2013,8,4,1
15/02/2013,13,8,3
16/02/2013,5,2,-1
17/02/2013,0,-4,-8
18/02/2013,2,-3,-8
19/02/2013,9,5,1
20/02/2013,3,0,-4
21/02/2013,1,-2,-4
22/02/2013,3,0,-4
23/02/2013,6,4,2
24/02/2013,8,5,1
25/02/2013,7,4,0
26/02/2013,7,4,2
27/02/2013,8,6,2
28/02/2013,11,7,4
01/03/2013,7,5,2
02/03/2013,4,2,-1
03/03/2013,4,2,-2
04/03/2013,6,2,-3
05/03/2013,9,4,-1
06/03/2013,6,4,3
07/03/2013,3,2,1
08/03/2013,6,3,-1
09/03/2013,13,7,2
10/03/2013,10,6,2
11/03/2013,12,8,4
12/03/2013,14,10,6
13/03/2013,11,7,3
14/03/2013,5,2,-2
15/03/2013,8,4,-1
16/03/2013,5,3,0
17/03/2013,3,1,-2
